EXT_SOURCE_2,DAYS_BIRTH,DAYS_ID_PUBLISH,NEW_AMT_PAYMENT_RATE,DAYS_REGISTRATION,DAYS_EMPLOYED,AMT_ANNUITY,DAYS_LAST_PHONE_CHANGE,TOTALAREA_MODE,LIVINGAREA_AVG,TARGET
0.6317171,35.372602739726,-4279,20.7134040977536,-4244,-2131,36459,-293,0.063,0.0598,0
0.5898745,55.4547945205479,-3653,8.41231563008244,-2930,-1477,80239.5,-2236,0.0319,0.0319,0
0.5910009,55.2684931506849,-3652,34.1997264021888,-4882,365243,39474,-263,0.2084,0.1613,0
0.6767629,54.5506849315069,-3464,18.3494376683035,-3017,-3466,28408.5,-1085,0.371,0.3803,0
0.1659953,36.5616438356164,-3040,30.8671967020024,-3713,-202,30564,-1305,0.2948,0.1223,0
0.6599806,33.3808219178082,-3022,12.8603111552466,-5835,-4508,27189,-500,0.0591,0.0588,0
0.3861149,37.2328767123288,-896,12.92546316243,-676,-2786,10444.5,-565,0.1727,0.15,0
0.2428841,25.5369863013699,-1636,20.5601765404855,-3923,-516,26509.5,-571,0.032,0.0394,0
0.2663916,27.6958904109589,-2451,9.1743119266055,-4551,-100,10791,-361,0.1232,0.1032,0
0.6780197,56.6027397260274,-3313,13.9782072368421,-3703,-2499,21888,-154,0.0657,0.0593,0
0.03088851,64.0684931506849,-3416,23.6022916281648,-2749,365243,48699,-1900,0.1444,0.1651,0
0.76209,53.013698630137,-50,20,-4193,365243,11250,-1244,0.0127,0.0142,0
0.2131403,31.6931506849315,-1309,34.08203125,-391,-323,36864,-562,0.1053,0.096,0
0.6832673,55.1232876712329,-3455,26.2580982236155,-8943,365243,12919.5,-1632,0.0634,0.0508,0
0.6848553,37.0547945205479,-5060,34.0432816537468,-3071,-1819,27864,-1558,0.054,0.0569,0
0.5637577,40.1287671232877,-2273,21.4523556500177,-314,-266,25407,-972,0.0554,0.0707,0
0.4630693,33.4438356164384,-2639,27.7021276595745,-2574,-1864,25591.5,-1555,0.0823,0.0818,0
0.6155977,27.1123287671233,-87,34.1036331149494,-858,-198,45333,-1180,0.051,0.0648,0
0.5537408,53.1945205479452,-653,10.2288073840175,-4370,-6199,37053,0,0.0755,0.0835,0
0.2723651,58.2,-3993,30.8134757600657,-1083,365243,21906,0,0.0343,0.0397,0
0.6126439,65.3643835616438,-4355,9.28571428571429,-4341,365243,7749,0,0.0021,0.0027,0
0.7601896,35.7479452054795,-4379,36.2674817078818,-1124,-615,48586.5,-847,0.0717,0.0707,0
0.6363648,34.8849315068493,-5083,8.84173297966401,-3815,-2806,10179,-221,0.0876,0.068,0
0.2789448,42.5808219178082,-4343,8.33137944509574,-3828,-4956,11515.5,0,0.1988,0.1746,0
0.5582646,41.4,-4516,26.1976047904192,-5840,-926,60120,-1509,0.1372,0.1532,0
0.6011567,61.6082191780822,-1926,15.4555508294343,-975,365243,10579.5,0,0.0603,0.0647,0
0.6280874,38.5315068493151,-204,25.8070472380366,-1582,-1140,29245.5,-1114,0.0128,0.0145,0
0.5360535,54.3890410958904,-3410,13.3749442710655,-6761,-3163,40374,-935,0.0134,0.0127,0
0.2862507,26.1369863013699,-1233,20,-5427,-2697,42750,-971,0.0607,0.1061,0
0.2858131,52.9616438356164,-2892,8.80248833592535,-343,-551,28935,-527,0.0358,0.0336,0
0.3249889,51.1917808219178,-2230,22.3815142576205,-3266,-2232,9153,-1078,0.0345,0.0262,0
0.5010187,59.5534246575342,-4949,23.542966042966,-4403,365243,51948,-2740,0.097,0.0892,0
0.05451117,52.1780821917808,-225,26.2543352601156,-3757,365243,12456,-380,0.0015,0.0019,0
0.2831468,66.0794520547945,-4831,10.2697495183044,-12330,365243,7006.5,-883,0.1567,0.1679,0
0.7415554,26.1643835616438,-183,13.3216294061171,-6188,-433,32809.5,-639,0.2248,0.281,0
0.776694,49.0794520547945,-1367,18.77066004105,-12028,-5653,41656.5,-1869,0.18,0.2084,0
0.3864934,49.6520547945205,-1658,37.3746970431411,-1104,-105,9283.5,-1384,0.0371,0.0468,0
0.65217,37.7178082191781,-4264,31.0012810658468,-6407,-5170,17563.5,-2359,0.0935,0.1099,0
0.7568089,32.4191780821918,-4159,20.7862972508591,-3083,-2368,41904,-1848,0.0475,0.0604,0
0.7505737,46.9753424657534,-676,22.5687320475995,-521,-688,21933,-2200,0.0539,0.0901,0
0.3709308,35.9068493150685,-4813,23.6033755274262,-13096,-1802,27729,-601,0.047,0.0689,0
0.3872247,58.6767123287671,-4368,17.829644638404,-1490,365243,28872,-80,0.442,0.3376,0
0.1590816,62.6328767123288,-4381,34.0433535224737,-7553,-1178,28233,-465,0.2547,0.3121,0
0.1542055,63.1616438356164,-4836,17.7743710691824,-9556,365243,17172,-1127,0.0728,0.0926,0
